iter	Passed	Remaining
0	0	73
1	1	76
2	2	86
3	3	81
4	4	82
5	5	81
6	6	80
7	6	78
8	7	77
9	8	75
10	9	74
11	9	72
12	10	71
13	11	69
14	12	68
15	12	67
16	13	66
17	14	65
18	14	63
19	15	62
20	16	60
21	16	60
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	25	45
36	26	44
37	26	44
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	37
45	31	37
46	32	36
47	33	35
48	33	34
49	34	34
50	34	33
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
